file,layer,alpha,baseline_accuracy,intervention_accuracy,delta_accuracy,recovery_rate,regression_rate,baseline_false_count,baseline_false_intervention_correct,baseline_false_intervention_accuracy,baseline_true_count,baseline_true_intervention_correct,regressed_count
D:\dsmlFinalRepe\Distinguishing_Ignorance_from_Error_in_LLM_Hallucinations\experiment\type1_results\all239\result239_layer_summaries\layer_000_alpha_+1.json,0,1.0,0.5606694560669456,0.6213389121338913,0.060669456066945626,0.10251046025104603,0.04184100418410042,210,49,0.23333333333333334,268,248,20
D:\dsmlFinalRepe\Distinguishing_Ignorance_from_Error_in_LLM_Hallucinations\experiment\type1_results\all239\result239_layer_summaries\layer_000_alpha_-1.json,0,-1.0,0.5606694560669456,0.6359832635983264,0.07531380753138073,0.11506276150627615,0.0397489539748954,210,55,0.2619047619047619,268,249,19
D:\dsmlFinalRepe\Distinguishing_Ignorance_from_Error_in_LLM_Hallucinations\experiment\type1_results\all239\result239_layer_summaries\layer_001_alpha_+1.json,1,1.0,0.5606694560669456,0.6485355648535565,0.08786610878661083,0.12552301255230125,0.03765690376569038,210,60,0.2857142857142857,268,250,18
D:\dsmlFinalRepe\Distinguishing_Ignorance_from_Error_in_LLM_Hallucinations\experiment\type1_results\all239\result239_layer_summaries\layer_001_alpha_-1.json,1,-1.0,0.5606694560669456,0.6548117154811716,0.09414225941422594,0.1297071129707113,0.03556485355648536,210,62,0.29523809523809524,268,251,17
D:\dsmlFinalRepe\Distinguishing_Ignorance_from_Error_in_LLM_Hallucinations\experiment\type1_results\all239\result239_layer_summaries\layer_002_alpha_+1.json,2,1.0,0.5606694560669456,0.5941422594142259,0.03347280334728031,0.07322175732217573,0.0397489539748954,210,35,0.16666666666666666,268,249,19
D:\dsmlFinalRepe\Distinguishing_Ignorance_from_Error_in_LLM_Hallucinations\experiment\type1_results\all239\result239_layer_summaries\layer_002_alpha_-1.json,2,-1.0,0.5606694560669456,0.6485355648535565,0.08786610878661083,0.11715481171548117,0.029288702928870293,210,56,0.26666666666666666,268,254,14
D:\dsmlFinalRepe\Distinguishing_Ignorance_from_Error_in_LLM_Hallucinations\experiment\type1_results\all239\result239_layer_summaries\layer_003_alpha_+1.json,3,1.0,0.5606694560669456,0.604602510460251,0.043933054393305415,0.08368200836820083,0.0397489539748954,210,40,0.19047619047619047,268,249,19
D:\dsmlFinalRepe\Distinguishing_Ignorance_from_Error_in_LLM_Hallucinations\experiment\type1_results\all239\result239_layer_summaries\layer_003_alpha_-1.json,3,-1.0,0.5606694560669456,0.602510460251046,0.04184100418410042,0.07531380753138076,0.03347280334728033,210,36,0.17142857142857143,268,252,16
D:\dsmlFinalRepe\Distinguishing_Ignorance_from_Error_in_LLM_Hallucinations\experiment\type1_results\all239\result239_layer_summaries\layer_004_alpha_+1.json,4,1.0,0.5606694560669456,0.5794979079497908,0.01882845188284521,0.06485355648535565,0.04602510460251046,210,31,0.14761904761904762,268,246,22
D:\dsmlFinalRepe\Distinguishing_Ignorance_from_Error_in_LLM_Hallucinations\experiment\type1_results\all239\result239_layer_summaries\layer_004_alpha_-1.json,4,-1.0,0.5606694560669456,0.6234309623430963,0.06276150627615062,0.09623430962343096,0.03347280334728033,210,46,0.21904761904761905,268,252,16
D:\dsmlFinalRepe\Distinguishing_Ignorance_from_Error_in_LLM_Hallucinations\experiment\type1_results\all239\result239_layer_summaries\layer_005_alpha_+1.json,5,1.0,0.5606694560669456,0.6171548117154811,0.05648535564853552,0.09414225941422594,0.03765690376569038,210,45,0.21428571428571427,268,250,18
D:\dsmlFinalRepe\Distinguishing_Ignorance_from_Error_in_LLM_Hallucinations\experiment\type1_results\all239\result239_layer_summaries\layer_005_alpha_-1.json,5,-1.0,0.5606694560669456,0.6255230125523012,0.06485355648535562,0.09414225941422594,0.029288702928870293,210,45,0.21428571428571427,268,254,14
D:\dsmlFinalRepe\Distinguishing_Ignorance_from_Error_in_LLM_Hallucinations\experiment\type1_results\all239\result239_layer_summaries\layer_006_alpha_+1.json,6,1.0,0.5606694560669456,0.608786610878661,0.04811715481171541,0.1087866108786611,0.060669456066945605,210,52,0.24761904761904763,268,239,29
D:\dsmlFinalRepe\Distinguishing_Ignorance_from_Error_in_LLM_Hallucinations\experiment\type1_results\all239\result239_layer_summaries\layer_006_alpha_-1.json,6,-1.0,0.5606694560669456,0.6506276150627615,0.08995815899581583,0.1087866108786611,0.01882845188284519,210,52,0.24761904761904763,268,259,9
D:\dsmlFinalRepe\Distinguishing_Ignorance_from_Error_in_LLM_Hallucinations\experiment\type1_results\all239\result239_layer_summaries\layer_007_alpha_+1.json,7,1.0,0.5606694560669456,0.6150627615062761,0.05439330543933052,0.10251046025104603,0.04811715481171548,210,49,0.23333333333333334,268,245,23
D:\dsmlFinalRepe\Distinguishing_Ignorance_from_Error_in_LLM_Hallucinations\experiment\type1_results\all239\result239_layer_summaries\layer_007_alpha_-1.json,7,-1.0,0.5606694560669456,0.6317991631799164,0.07112970711297073,0.09832635983263599,0.027196652719665274,210,47,0.22380952380952382,268,255,13
D:\dsmlFinalRepe\Distinguishing_Ignorance_from_Error_in_LLM_Hallucinations\experiment\type1_results\all239\result239_layer_summaries\layer_008_alpha_+1.json,8,1.0,0.5606694560669456,0.6380753138075314,0.07740585774058573,0.12761506276150628,0.0502092050209205,210,61,0.2904761904761905,268,244,24
D:\dsmlFinalRepe\Distinguishing_Ignorance_from_Error_in_LLM_Hallucinations\experiment\type1_results\all239\result239_layer_summaries\layer_008_alpha_-1.json,8,-1.0,0.5606694560669456,0.6276150627615062,0.06694560669456062,0.10669456066945607,0.0397489539748954,210,51,0.24285714285714285,268,249,19
D:\dsmlFinalRepe\Distinguishing_Ignorance_from_Error_in_LLM_Hallucinations\experiment\type1_results\all239\result239_layer_summaries\layer_009_alpha_+1.json,9,1.0,0.5606694560669456,0.6234309623430963,0.06276150627615062,0.12133891213389121,0.058577405857740586,210,58,0.2761904761904762,268,240,28
D:\dsmlFinalRepe\Distinguishing_Ignorance_from_Error_in_LLM_Hallucinations\experiment\type1_results\all239\result239_layer_summaries\layer_009_alpha_-1.json,9,-1.0,0.5606694560669456,0.6673640167364017,0.10669456066945604,0.14435146443514643,0.03765690376569038,210,69,0.32857142857142857,268,250,18
D:\dsmlFinalRepe\Distinguishing_Ignorance_from_Error_in_LLM_Hallucinations\experiment\type1_results\all239\result239_layer_summaries\layer_010_alpha_+1.json,10,1.0,0.5606694560669456,0.602510460251046,0.04184100418410042,0.10251046025104603,0.060669456066945605,210,49,0.23333333333333334,268,239,29
D:\dsmlFinalRepe\Distinguishing_Ignorance_from_Error_in_LLM_Hallucinations\experiment\type1_results\all239\result239_layer_summaries\layer_010_alpha_-1.json,10,-1.0,0.5606694560669456,0.6464435146443515,0.08577405857740583,0.12761506276150628,0.04184100418410042,210,61,0.2904761904761905,268,248,20
